,sentence,subject_entity,object_entity
146,"EU 외무장관들은 탈퇴 지역의 승인에 찬성표를 던진 모든 두마 회원들을 블랙리스트에 올렸고, <obj EU 투자자들>의 러시아 국채 거래를 금지했으며, <sub 분리주의 단체들>과의 수출입도 목표물로 삼았다.",ORG,ORG
147,<obj 우크라이나> 수도 <sub 키에프>에서 동쪽으로 1100 km 떨어져 있다.,ORG,ORG
148,<obj 2015년 2월 15일>에는 <sub 2차 민스크 협정>이 맺어지면서 다시 한번 더 협정이 맺어졌다.,EVE,DAT
149,"소련에서 독립한 러시아, 우크라이나, 벨라루스, 우즈베키스탄, 카자흐스탄, 조지아, 아제르바이잔, 몰도바, 키르기스스탄, 타지키스탄, 아르메니아, 투르크메니스탄은 <obj 프랑스 알베르빌>에서 개최된 <sub 1992년 동계 올림픽>, 스페인 바르셀로나에서 개최된 1992년 하계 올림픽에서 올림픽 연합 선수단을 결성하여 참가했다.",EVE,LOC
150,이후 <obj 2014년 9월 5일>에는 <sub 민스크 협정>을 통해 휴전하였다.,EVE,DAT
151,이 전투로 인해 도네츠크 인민 공화국의 부통령인 맥심 페트루킨이 사망하고 <obj 대통령> <sub 데니스 푸실린>은 부상을 입었다.,PER,POH
152,러시아는 <sub 우크라이나>의 <obj 나토> 가입과 나토의 확장은 자국의 안보를 위협한다고 말했다.,ORG,ORG
153,"이 시위는 러시아의 크림 공화국 합병으로 인해 우크라이나의 남동부 지역의 대규모 친러시아 시위로 발전했으며, 이후 도네츠크 인민공화국과 <obj 루간스크 인민공화국>이 분리주의를 제창하며 독립함에 따라 <sub 우크라이나 정부>와 전쟁을 시작하게 되었다.",ORG,ORG
154,"이런 러시아의 월경 행위는 <obj 친러시아군>이 장악한 모든 지역에서 발생한 것으로 확인되었고, 도네츠크주의 노보아조우스크와 같이 <sub 정부군>이 통제하는 지역에서 넘어든 것으로 알려졌다.",ORG,ORG
155,"이들은 특별한 입법 회기가 열리지 않는 경우 지역 관리 없이도 국민 투표를 열 수 있으며, 이들은 ""<obj 시민의 주지사>""가 지방 정부를 통치하고 선출되었던 모든 <sub 지역 국회위원>과 시의원은 무효라고 주장했다.",PER,POH
156,<sub 쿠르토프>는 자신들의 군을 <obj 비행장>에서 다시 후퇴시켰다.,ORG,LOC
157,"4월 11일, 우크라이나의 <obj 총리>인 <sub 아르세니 야체뉴크>는 그 당시 ""법적 대응""에 관해서는 반대했지만, 우크라이나 정부가 용납할 수 있는 범위에는 ""한계가 있었다.""라고 말했다.",PER,POH
158,"유로마이단의 일부로서 몇 주 동안 시위가 지속된 후, 친러시아 성향의 <sub 빅토르 야누코비치> 우크라이나 <obj 대통령>과 우크라이나 야당 지도자들은 2014년 2월 21일 조기 선거를 요구하는 합의서에 서명했다.",PER,POH
159,<obj 우크라이나>는 친유럽 성향의 <sub 서부>와 친러시아 성향의 동부로 나뉘어 서로 합법 정부를 칭하는 이중권력 상태에 놓였다.,ORG,ORG
160,트란스니스트리아는 러시아계 주민이 대규모로 몰도바와 전쟁 끝에 자치권을 얻었으며 <sub 러시아군 병력>이 <obj 평화유지군>으로 주둔하고 있다.,ORG,ORG
161,"<sub 우크라이나>-<obj EU> 통합 갱신 요구가 계속 이루어지지 않지만 유로마이단은 EU 자체에 대한 중요한 정치적 상징 사건, 특히 ""역사상 사상 최대의 친유럽 집회""라고 반복적으로 말하고 있다.",ORG,ORG
162,"그는 뉴스위크에서 군, <sub 국가안보위원회>, <obj 방위위원회> 등의 단체와 함께 ""어떤 군대와도 같이"" S-300 미사일 조종을 훈련받은 전문가 다수가 있다고 말했다.",ORG,ORG
163,양군의 교전은 현지 시각으로 지난 2월 24일 오후 10시 30분쯤 <sub 우크라이나 제27포병여단>이 주둔하고 있는 <obj 수미주립대학교> 인근에서 계속됐다.,ORG,LOC
164,<sub 조선민주주의인민공화국>은 1993년 3월과 <obj 2003년 1월> 탈퇴를 선언하였다.,ORG,DAT
165,"<obj 7월 16일> 올라온 <sub 우크라이나 주권 선언 안건>에서 찬성 355표, 반대 4표의 압도적 찬성율로 통과되었다.",EVE,DAT
166,또한 둘의 합의하에 <sub 연방정부>의 요직 인물을 결정하고 <obj 공산당>의 활동을 중지시켰다.,ORG,ORG
167,"국토 면적 603,700km²에 576,700km² (크림 공화국과 세바스토폴 제외시) 해안선 길이는 2,782km로, <sub 우크라이나>는 세계에서 44번째로 큰 국가(중앙아프리카 공화국보다는 작고, <obj 마다가스카르>보다는 크다.)이다.",ORG,ORG
168,소련 유엔 대사는 <sub 옐친> <obj 대통령> 명의로 1991년 12월 24일 알마아타 조약에 의해 러시아가 소련의 승계국가임을 통보한 편지를 유엔 사무총장에게 보냈다.,PER,POH
169,"선거 결과 350석 중 280석이 공산당 후보였으며 45석만 인민전선 및 기타 <sub 비공산계 정당>이 획득했으며 이들은 ""<obj 민주 선거블록>""을 만들었다.",ORG,ORG
170,"2월 27일 오후, <sub 시니예후보프>는 <obj 우크라이나군>이 도시를 완전히 장악했다고 발표했다.",PER,ORG
171,"3월 2일, 페오도시야 부근의 <sub 우크라이나> <obj 해병대 사단>이 우크라이나 현지 시간 오전 9시에 항복을 요구하는 무장 괴한들에게 포위되었다.",ORG,ORG
172,이 봉기는 <obj 14일> <sub 고르바초프>가 군을 투입하면서 진압되었다.,PER,DAT
173,<sub 호스토멜 공항 전투> 또는 안토노프 국제공항 전투()는 <obj 2022년 2월 24일> 러시아의 우크라이나 침공 당시 벌어진 전투이다.,EVE,DAT
174,이에 형식상으로는 <obj 소련>에서 가장 큰 공화국이 탈퇴한 것으로 보였으나 <sub 러시아> 측에서는 '더 이상 존재하지 않는 나라'에서 탈퇴하는 것은 불가능하므로 이 같은 말은 사실이 아니라고 말했다.,ORG,ORG
175,며칠 이후에는 <obj 대학생> 거의 대부분이 <sub 시위 대열>에 합류했다.,ORG,PER
176,<sub 러시아군>은 3시간의 전투 끝에 공항을 점령했지만 국민위병 <obj 제4신속대응연대>의 우크라이나 반격이 뒤따랐다.,ORG,ORG
177,"보수적인 <sub 공산주의 블록>은 239석을 차지하고 있었으며, 국가위원회로 커진 <obj 민주블록>은 129석을 차지했다.",ORG,ORG
178,"유럽의 공동체를 창립한 것으로 알려진 회원국은 벨기에, <sub 프랑스>, 이탈리아, 네덜란드, 룩셈부르크, 독일(서독) 6개국으로, 이들을 합쳐 <obj 이너 식스>라고 부른다.",ORG,ORG
179,"또한 이 봉기에 책임을 지고 <sub 타지크> 공산당 <obj 제1서기>, 최고회의 의장, 수상 등 수뇌부 전원이 사임하였다.",PER,POH
180,"본디, 핵 확산 금지 조약은 25년 기한이었으나 1995년 5월 11일, <sub 뉴욕>에서의 평가회의에서 <obj 서명국>이 합의하여 조약을 조건없이 무기한 연장하기로 결정했다.",ORG,ORG
181,"러시아, <sub 우크라이나>, 벨라루스 3개 <obj 공화국 지도자>들은 연방을 대체할 대안에 대해 논의하기 시작했다.",ORG,PER
182,"12월 17일, 유럽 경제 공동체를 위시한 28개 유럽 국가와 4개 비유럽 국가, 발트 3국, 소련의 12개 공화국 중 9개 공화국 정상이 모여 <obj 헤이그>에서 <sub 유럽 에너지 헌장>을 체결했다.",EVE,LOC
183,"<sub 우크라이나>는 비옥한 평원, 스텝, 고원이 있으며, 그들을 지나가는 강이 <obj 흑해>로 흘러들어간다.",ORG,LOC
184,<obj 유럽 연합>의 언어는 <sub 가입국> 각각의 공용어로 정해져 있어서 2013년 7월 1일 이후에는 총 공용어 수가 24개나 된다.,ORG,ORG
185,"<obj 우크라이나>의 경지율은 약 70%에 이르고 있어, 겨울밀·옥수수·보리·사탕무·해바라기·포도의 재배, 가축사양 등에서는 구 <sub 소련> 시절 매우 중요한 지위를 차지하고 있었다.",ORG,ORG
186,1991년 말까지 <obj 러시아>가 인수인계하지 않은 <sub 소련 연방 기관>은 운영을 중지했고 개별 공화국은 중앙정부로 승격되어 통치를 시작했다.,ORG,ORG
187,"2월 26일, <sub 이고르 콜리카예프> <obj 시장>에 따르면, 러시아군은 러시아의 장갑차에 대한 우크라이나군의 공습 이후, 헤르손에서 철수했다.",PER,POH
188,<obj 3월 18일>엔 <sub 민주 블록 의원>이 결선선거 의석 대부분에서 승리했다.,PER,DAT
189,<sub 하르키우 전투>는 2022년 러시아의 우크라이나 침공 중 동우크라이나 공세의 일부로 우크라이나 <obj 하르키우>에서 일어난 무력 충돌이다.,EVE,LOC
190,유럽 연합의 기원은 1946년 9월 19일 영국 <obj 수상> <sub 윈스턴 처칠>이 스위스의 취리히에서 한 유명한 유럽에 관한 연설에까지 거슬러 올라간다.,PER,POH
191,"<sub 키예프 대공국>은 10세기까지 중앙아시아 <obj 투르크 민족>의 영향을 받았고 이에 따라 류리크 왕조의 시조인 류리크 또한 위대한 카간이자 왕으로 불렸다는 기록이 존재한다. 862년경 전까지는 확실히 카간이라 칭한 루스인들이 페르시아 사서와 동, 서 로마 기록에 남아 있다.",ORG,ORG
192,<sub 경찰> 및 <obj 정부>의 폭력적 진압에 항의하여 12월 1일과 2014년 1월 19일~25일 동안 폭력 집회가 일어났다.,ORG,ORG
193,"전 <obj 세계> 인구의 7.3%을 차지하는 <sub 유럽 연합>의 2017년 기준 국내총생산은 19조 6700억 달러로, 전세계 GDP의 24.6%를 차지한다.",ORG,ORG
194,8월 24일엔 <sub 고르바초프>가 <obj 소련 공산당 중앙위원회>를 해산시키고 당서기 직에 사임했으며 연방정부 내 모든 공산당 조직을 해체시켰다.,PER,ORG
195,러시아군은 <sub 러시아>-<obj 우크라이나> 국경 근처에 위치한 우크라이나 수미를 점령했다.,ORG,ORG
196,경제력과 정치력 면에서 러시아 다음으로 2위의 세력을 가지던 <obj 우크라이나>가 탈퇴함으로써 소련을 일부 제한된 규모로라도 유지하고자 했던 <sub 고르바초프>의 노력은 물거품이 되었다.,ORG,ORG
197,우익 섹터는 제2차 세계 대전 당시 추축군 및 <sub 소련군> 모두에게 맞서 싸웠던 <obj 우크라이나 반란군>과 같은 여러 우크라이나 파르티잔으로부터 시작되었다고 보고 있다.,ORG,ORG
198,<obj 1990년 2월 12일>에서 14일 사이 타지크 소비에트 사회주의 공화국의 수도인 두샨베에서 타지크인과 강제이주된 아르메니아인 간 민족갈등이 터져 <sub 반아르메니아 민족분규>인 대봉기가 일어났다.,EVE,DAT
199,또한 <obj 유럽>은 아니지만 몇몇 유럽 연합 회원국의 속령도 <sub 유럽 연합>의 일부이다.,ORG,ORG
